cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
MOIN02600;Ribeirão do Moinho;Ponte na SP- 563 junto à régua do DAEE 8C-009.;2013-01-01;NA;ANDRADINA;2218;19;3502101;Andradina
TITR02100;Reservatório de Três Irmãos;Ponte na rodovia SP-463, no trecho que liga Araçatuba a Jales, a 1 km da captação de Araçatuba.;1990-11-06;NA;ARAÇATUBA;204;19;3502804;Araçatuba
BAGU02700;Ribeirão Baguaçu;Na Avenida Baguaçu, 1530, na captação do município de Araçatuba.;2001-01-01;NA;ARAÇATUBA;558;19;3502804;Araçatuba
XOTE02500;Córrego do Baixote;Na estrada municipal que liga Birigüi a Coroados, na captação de Birigüi.;2001-01-01;NA;BIRIGUI;562;19;3506508;Birigui
BBRA02700;Braço do Ribeirão Santa Bárbara - UGRHI 19;No pier do Náutico Clube Buritama.;2020-01-01;NA;BURITAMA;3344;19;3508108;Buritama
PARN02100;Rio Paraná;Sobre a barragem do Reservatório de Jupiá, ao lado da ETA.;1974-10-01;NA;CASTILHO;202;19;3511003;Castilho
PARN02110;Rio Paraná;Rio Paraná, à jusante da barragem de Jupiá.;2016-10-01;NA;CASTILHO;2611;19;3511003;Castilho
FRUT02800;Córrego do Frutal;Ponte na Rodovia Marechal Rondon (SP-300) antes do trevo de Guararapes, próximo da placa da saída 553 A.;2015-01-01;NA;GUARARAPES;2440;19;3518206;Guararapes
TIET02900;Rio Tietê;Ponte sobre o Rio Tiete na SP 595, próximo da sua foz com o Rio Paraná.;2014-01-01;NA;ITAPURA;2222;19;3523008;Itapura
LAGE02500;Ribeirão Lageado;Rua Altino Vaz de Melo, na captação do município de Penápolis.;2001-01-01;NA;PENAPOLIS;556;19;3537305;Penápolis
TITR02800;Reservatório de Três Irmãos;Ponte na rodovia SP-563, no trecho que liga Pereira Barreto a Andradina.;1974-10-01;NA;PEREIRA BARRETO;205;19;3537404;Pereira Barreto
PATO02900;Ribeirão dos Patos;Ponte na estrada de terra, a 3 km da BR 153, na altura da UHE de Promissão;2007-01-01;NA;PROMISSAO;1403;19;3541604;Promissão
TIET02700;Rio Tietê;Ponte na rod. BR-153, no trecho que liga Lins a José Bonifácio, a jusante da barragem de Promissão.;1974-10-01;NA;PROMISSAO;203;19;3541604;Promissão
